Status,Source,Title,URL
Working,Federal Register - DOE,Application for Presidential Permit Authorizing the Construc,https://www.federalregister.gov/documents/2025/09/11/2025-17513/application-for-presidential-permit-authorizing-the-construction-connection-operation-and
Working,Federal Register - DOE,Assistance to Foreign Atomic Energy Activities,https://www.federalregister.gov/documents/2025/11/24/2025-20788/assistance-to-foreign-atomic-energy-activities
Working,Federal Register - DOE,Energy Dominance Financing Amendments,https://www.federalregister.gov/documents/2025/10/28/2025-19675/energy-dominance-financing-amendments
Working,Federal Register - DOE,Nondiscrimination on the Basis of Sex in Sports Programs Ari,https://www.federalregister.gov/documents/2025/09/10/2025-17426/nondiscrimination-on-the-basis-of-sex-in-sports-programs-arising-out-of-federal-financial-assistance
Working,Federal Register - DOE,Petroleum-Equivalent Fuel Economy Calculation,https://www.federalregister.gov/documents/2026/01/08/2026-00154/petroleum-equivalent-fuel-economy-calculation
Working,Federal Register - DOE,Rescinding New Construction Requirements Related to Nondiscr,https://www.federalregister.gov/documents/2025/09/11/2025-17517/rescinding-new-construction-requirements-related-to-nondiscrimination-in-federally-assisted-programs
Working,Federal Register - DOE,Rescinding New Construction Requirements Related to Nondiscr,https://www.federalregister.gov/documents/2025/12/09/2025-22325/rescinding-new-construction-requirements-related-to-nondiscrimination-in-federally-assisted-programs
Working,Federal Register - DOE,Rescinding Regulations for Loans for Minority Business Enter,https://www.federalregister.gov/documents/2025/12/09/2025-22324/rescinding-regulations-for-loans-for-minority-business-enterprises-seeking-doe-contracts-and
Working,Federal Register - DOE,Rescinding Regulations for Loans for Minority Business Enter,https://www.federalregister.gov/documents/2025/09/10/2025-17429/rescinding-regulations-for-loans-for-minority-business-enterprises-seeking-doe-contracts-and
Working,Federal Register - DOE,Rescinding Regulations Related to Nondiscrimination in Feder,https://www.federalregister.gov/documents/2025/12/09/2025-22322/rescinding-regulations-related-to-nondiscrimination-in-federally-assisted-programs-or-activities
Working,Federal Register - DOE,Rescinding Regulations Related to Nondiscrimination in Feder,https://www.federalregister.gov/documents/2025/09/10/2025-17427/rescinding-regulations-related-to-nondiscrimination-in-federally-assisted-programs-or-activities
Working,Federal Register - DOE,Rescinding Regulations Related to Nondiscrimination on the B,https://www.federalregister.gov/documents/2025/09/10/2025-17428/rescinding-regulations-related-to-nondiscrimination-on-the-basis-of-sex-in-education-programs-or
Working,Federal Register - DOE,Rescinding Regulations Related to Nondiscrimination on the B,https://www.federalregister.gov/documents/2025/12/09/2025-22323/rescinding-regulations-related-to-nondiscrimination-on-the-basis-of-sex-in-education-programs-or
Working,Federal Register - EPA,Air Plan Approval; California; Mojave Desert Air Quality Man,https://www.federalregister.gov/documents/2026/01/08/2026-00194/air-plan-approval-california-mojave-desert-air-quality-management-district-definition-of-terms
Working,Federal Register - EPA,Air Plan Approval; California; Mojave Desert Air Quality Man,https://www.federalregister.gov/documents/2026/01/08/2026-00208/air-plan-approval-california-mojave-desert-air-quality-management-district-replacing-outdated
Working,Federal Register - EPA,Air Plan Approval; California; San Joaquin Valley Unified Ai,https://www.federalregister.gov/documents/2026/01/06/2026-00005/air-plan-approval-california-san-joaquin-valley-unified-air-pollution-control-district
Working,Federal Register - EPA,Air Plan Approval; Colorado; Revisions to Colorado Procedura,https://www.federalregister.gov/documents/2026/01/02/2025-24141/air-plan-approval-colorado-revisions-to-colorado-procedural-rules-and-common-provisions-regulation
